,Scoring,Start,Start_Frame,Stop,Stop_Frame,Subject,Behaviour,,Novel Object Position
175,1816_C3_696_4wk,4.733333333,142,5.833333333,175,1,Right Object,0,
176,1816_C3_696_4wk,21.93333333,658,24.96666667,749,1,Left Object,0,
177,1816_C3_696_4wk,27.03333333,811,28.3,849,1,Left Object,0,
178,1816_C3_696_4wk,29.43333333,883,29.83333333,895,1,Left Object,0,
179,1816_C3_696_4wk,31.53333333,946,32.6,978,1,Left Object,0,
180,1816_C3_696_4wk,157.2666667,4718,180.2,5406,1,Left Object,0,
181,1816_C3_696_4wk,180.8333333,5425,181.2666667,5438,1,Left Object,0,
182,1816_C3_696_4wk,181.6,5448,183.9666667,5519,1,Left Object,0,
183,1816_C3_696_4wk,184.6,5538,204.4666667,6134,1,Left Object,0,
184,1816_C3_696_4wk,205.5333333,6166,207.7,6231,1,Right Object,0,
185,1816_C3_696_4wk,210.6,6318,213.4333333,6403,1,Right Object,0,
186,1816_C3_696_4wk,234.6333333,7039,240.1,7203,1,Left Object,0,
187,1816_C3_696_4wk,241.2333333,7237,241.9666667,7259,1,Left Object,0,
188,1816_C3_696_4wk,245,7350,247.1666667,7415,1,Right Object,0,
189,1816_C3_696_4wk,266,7980,268.0333333,8041,1,Left Object,0,
190,1816_C3_696_4wk,281.5333333,8446,300.9333333,9028,1,Right Object,0,
191,1816_C3_696_4wk,301.9,9057,309.7666667,9293,1,Right Object,0,
192,1816_C3_696_4wk,311.5666667,9347,327.4666667,9824,1,Right Object,0,
